x,y,z,V,triangle
2.5000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,63
6.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,63
6.0000000000000000e+00,-8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,63
2.5000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,64
6.0000000000000000e+00,-8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,64
2.5000000000000000e+00,-8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,64
6.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,65
6.0000000000000000e+00,-6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,65
6.0000000000000000e+00,-6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,65
6.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,66
6.0000000000000000e+00,-6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,66
6.0000000000000000e+00,-8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,66
6.0000000000000000e+00,-6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,67
6.0000000000000000e+00,-5.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,67
6.0000000000000000e+00,-5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,67
6.0000000000000000e+00,-6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,68
6.0000000000000000e+00,-5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,68
6.0000000000000000e+00,-6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,68
6.0000000000000000e+00,-5.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,69
6.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,69
6.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,69
6.0000000000000000e+00,-5.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,70
6.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,70
6.0000000000000000e+00,-5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,70
6.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,71
6.0000000000000000e+00,6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,71
6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,71
6.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,72
6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,72
6.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,72
6.0000000000000000e+00,6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,73
6.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,73
6.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,73
6.0000000000000000e+00,6.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,74
6.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,74
6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,74
6.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,75
2.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,75
2.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,75
6.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,76
2.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,76
6.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,76
2.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,77
