vertex,x,y,z,basis,conductor
69,2.5861885578427201e-16,3.1283666215461548e-16,8.0000000000000000e+00,69,1
70,5.0000000000000033e-01,3.1450402262932995e-16,8.0000000000000000e+00,70,0
71,4.0000000000000009e+00,3.2617554595233110e-16,7.9999999999999991e+00,71,0
72,4.0000000000000009e+00,2.4984771300935159e-16,5.9999999999999991e+00,72,0
73,4.0000000000000009e+00,2.1168379653786185e-16,4.9999999999999991e+00,73,0
74,4.0000000000000009e+00,-3.6381660526821566e-17,-1.5000000000000004e+00,74,0
75,4.0000000000000009e+00,-2.0811928464852546e-16,-6.0000000000000009e+00,75,0
76,4.0000000000000009e+00,9.9999999999999756e-02,-8.0000000000000000e+00,76,0
77,5.3046508263954774e-16,9.9999999999999742e-02,-8.0000000000000000e+00,77,1
78,-1.4840742039999938e-01,9.9999999999999742e-02,-8.0000000000000000e+00,78,1
79,-9.9999999999999956e-01,9.9999999999999728e-02,-8.0000000000000000e+00,79,1
80,-1.9047973224000001e+00,9.9999999999999728e-02,-8.0000000000000000e+00,80,1
81,-2.0000000000000000e+00,9.9999999999999728e-02,-8.0000000000000000e+00,81,1
82,-2.5000000000000000e+00,9.9999999999999728e-02,-8.0000000000000000e+00,82,0
83,-6.0000000000000018e+00,9.9999999999999714e-02,-7.9999999999999991e+00,83,0
84,-6.0000000000000018e+00,9.9999999999999797e-02,-5.9999999999999991e+00,84,0
85,-6.0000000000000018e+00,9.9999999999999825e-02,-4.9999999999999991e+00,85,0
86,-6.0000000000000018e+00,1.0000000000000007e-01,1.5000000000000007e+00,86,0
87,-6.0000000000000018e+00,1.0000000000000026e-01,6.0000000000000009e+00,87,0
88,-6.0000000000000018e+00,1.0000000000000032e-01,8.0000000000000000e+00,88,0
89,-2.0000000000000000e+00,1.0000000000000034e-01,8.0000000000000000e+00,89,1
90,-1.9147802928999982e+00,1.0000000000000034e-01,8.0000000000000000e+00,90,1
91,-1.0000000000000000e+00,1.0000000000000034e-01,8.0000000000000000e+00,91,1
92,-9.8412698410000121e-01,1.0000000000000034e-01,8.0000000000000000e+00,92,1
93,-8.1418253399998738e-02,1.0000000000000035e-01,8.0000000000000000e+00,93,1
94,2.4069068486953295e-16,1.0000000000000035e-01,8.0000000000000000e+00,94,1
95,5.0000000000000033e-01,1.0000000000000035e-01,8.0000000000000000e+00,95,0
96,4.0000000000000009e+00,1.0000000000000037e-01,7.9999999999999991e+00,96,0
97,4.0000000000000009e+00,1.0000000000000028e-01,5.9999999999999991e+00,97,0
98,4.0000000000000009e+00,1.0000000000000024e-01,4.9999999999999991e+00,98,0
99,4.0000000000000009e+00,9.9999999999999992e-02,-1.5000000000000004e+00,99,0
100,4.0000000000000009e+00,9.9999999999999825e-02,-6.0000000000000009e+00,100,0
101,4.0000000000000009e+00,2.1000000000000001e+00,-7.9999999999999991e+00,101,0
102,1.7190166434476655e-16,2.1000000000000001e+00,-7.9999999999999991e+00,102,0
103,-1.4840742039999974e-01,2.1000000000000001e+00,-7.9999999999999991e+00,103,0
104,-1.0000000000000000e+00,2.1000000000000001e+00,-7.9999999999999991e+00,104,0
105,-1.9047973224000005e+00,2.1000000000000001e+00,-7.9999999999999991e+00,105,0
106,-2.0000000000000004e+00,2.1000000000000001e+00,-7.9999999999999991e+00,106,0
107,-2.5000000000000004e+00,2.1000000000000001e+00,-7.9999999999999991e+00,107,0
108,-6.0000000000000018e+00,2.1000000000000001e+00,-7.9999999999999982e+00,108,0
109,-6.0000000000000018e+00,2.1000000000000001e+00,-5.9999999999999982e+00,109,0
110,-6.0000000000000018e+00,2.1000000000000005e+00,-4.9999999999999982e+00,110,0
111,-6.0000000000000018e+00,2.1000000000000005e+00,1.5000000000000018e+00,111,0
112,-6.0000000000000018e+00,2.1000000000000010e+00,6.0000000000000018e+00,112,0
