x,y,z
-2.0000000000000000e+00,9.9999999999999728e-02,-8.0000000000000000e+00
-2.5000000000000000e+00,9.9999999999999728e-02,-8.0000000000000000e+00
-6.0000000000000018e+00,9.9999999999999714e-02,-7.9999999999999991e+00
-6.0000000000000018e+00,9.9999999999999797e-02,-5.9999999999999991e+00
-6.0000000000000018e+00,9.9999999999999825e-02,-4.9999999999999991e+00
-6.0000000000000018e+00,1.0000000000000007e-01,1.5000000000000007e+00
-6.0000000000000018e+00,1.0000000000000026e-01,6.0000000000000009e+00
-6.0000000000000018e+00,1.0000000000000032e-01,8.0000000000000000e+00
-2.0000000000000000e+00,1.0000000000000034e-01,8.0000000000000000e+00
-1.9147802928999982e+00,1.0000000000000034e-01,8.0000000000000000e+00
-1.0000000000000000e+00,1.0000000000000034e-01,8.0000000000000000e+00
-9.8412698410000121e-01,1.0000000000000034e-01,8.0000000000000000e+00
-8.1418253399998738e-02,1.0000000000000035e-01,8.0000000000000000e+00
2.4069068486953295e-16,1.0000000000000035e-01,8.0000000000000000e+00
5.0000000000000033e-01,1.0000000000000035e-01,8.0000000000000000e+00
4.0000000000000009e+00,1.0000000000000037e-01,7.9999999999999991e+00
4.0000000000000009e+00,1.0000000000000028e-01,5.9999999999999991e+00
4.0000000000000009e+00,1.0000000000000024e-01,4.9999999999999991e+00
4.0000000000000009e+00,9.9999999999999992e-02,-1.5000000000000004e+00
4.0000000000000009e+00,9.9999999999999825e-02,-6.0000000000000009e+00
4.0000000000000009e+00,2.1000000000000001e+00,-7.9999999999999991e+00
1.7190166434476655e-16,2.1000000000000001e+00,-7.9999999999999991e+00
-1.4840742039999974e-01,2.1000000000000001e+00,-7.9999999999999991e+00
-1.0000000000000000e+00,2.1000000000000001e+00,-7.9999999999999991e+00
-1.9047973224000005e+00,2.1000000000000001e+00,-7.9999999999999991e+00
-2.0000000000000004e+00,2.1000000000000001e+00,-7.9999999999999991e+00
-2.5000000000000004e+00,2.1000000000000001e+00,-7.9999999999999991e+00
-6.0000000000000018e+00,2.1000000000000001e+00,-7.9999999999999982e+00
-6.0000000000000018e+00,2.1000000000000001e+00,-5.9999999999999982e+00
-6.0000000000000018e+00,2.1000000000000005e+00,-4.9999999999999982e+00
-6.0000000000000018e+00,2.1000000000000005e+00,1.5000000000000018e+00
-6.0000000000000018e+00,2.1000000000000010e+00,6.0000000000000018e+00
-6.0000000000000018e+00,2.1000000000000010e+00,8.0000000000000018e+00
-2.0000000000000004e+00,2.1000000000000010e+00,8.0000000000000018e+00
-1.9147802928999986e+00,2.1000000000000010e+00,8.0000000000000018e+00
-1.0000000000000004e+00,2.1000000000000010e+00,8.0000000000000018e+00
-9.8412698410000155e-01,2.1000000000000010e+00,8.0000000000000018e+00
-8.1418253399999099e-02,2.1000000000000010e+00,8.0000000000000018e+00
-1.1787273342524828e-16,2.1000000000000010e+00,8.0000000000000018e+00
4.9999999999999994e-01,2.1000000000000010e+00,8.0000000000000018e+00
4.0000000000000009e+00,2.1000000000000010e+00,8.0000000000000000e+00
4.0000000000000009e+00,2.1000000000000010e+00,6.0000000000000000e+00
4.0000000000000009e+00,2.1000000000000010e+00,5.0000000000000000e+00
4.0000000000000009e+00,2.1000000000000005e+00,-1.4999999999999993e+00
4.0000000000000009e+00,2.1000000000000005e+00,-6.0000000000000000e+00
