Facet,Conductor,Plane,X,Y
89,2,0,8.3087995248999995,5.4551357736000003
89,2,0,9.4531192654999998,2.5429355229000001
89,2,0,9.8333333333000006,2.9161749517
89,2,0,9.8333333333000006,5.4902959483
90,2,0,8.3634726743000005,-0.54449409910000002
90,2,0,9.4531192654999998,2.5429355229000001
90,2,0,9.8333333333000006,2.2561429776000002
90,2,0,9.8333333333000006,-0.42343121929999999
91,2,0,8.3634726743000005,-0.54449409910000002
91,2,0,9.8333333333000006,-0.42343121929999999
91,2,0,9.8333333333000006,-3.0748338744000003
92,2,0,8.5925063304000009,-6.9402693660999999
92,2,0,9.8333333333000006,-3.6766970924
92,2,0,9.8333333333000006,-6.5476897913999998
93,2,0,8.5925063304000009,-6.9402693660999999
93,2,0,9.8333333333000006,-6.5476897913999998
93,2,0,9.8333333333000006,-8.3365619420999995
94,2,0,9.1053861356999999,8.4000000000000004
94,2,0,9.8333333333000006,7.7926541695000004
94,2,0,9.8333333333000006,8.4000000000000004
95,2,0,9.4531192654999998,2.5429355229000001
95,2,0,9.8333333333000006,2.2561429776000002
95,2,0,9.8333333333000006,2.9161749517
