vertex,x,y,z,basis,conductor
79,-9.1053861357000034e+00,-5.0000000000001113e-02,8.3999999999999932e+00,79,0
80,-8.9811602166000046e+00,-5.0000000000001113e-02,8.3999999999999932e+00,80,0
81,-8.6462523628000003e+00,-5.0000000000001113e-02,8.3999999999999932e+00,81,0
82,-5.4999999999999973e+00,-5.0000000000001120e-02,8.3999999999999932e+00,82,0
83,-1.8749999997499964e-01,-5.0000000000001134e-02,8.3999999999999932e+00,83,0
84,6.5000000000000053e+00,-5.0000000000001155e-02,8.3999999999999932e+00,84,0
85,6.8164791795999999e+00,-5.0000000000001162e-02,8.3999999999999932e+00,85,0
86,9.4091201579999986e+00,-5.0000000000001169e-02,8.3999999999999932e+00,86,0
87,9.4583333333500033e+00,-5.0000000000001169e-02,8.3999999999999932e+00,87,0
88,1.1750000000000002e+01,-5.0000000000001175e-02,8.3999999999999932e+00,88,0
89,1.1750000000000002e+01,-5.0000000000001120e-02,8.0057380650999832e+00,89,0
90,1.1750000000000002e+01,-5.0000000000000898e-02,6.3999999999999861e+00,90,0
91,1.1750000000000002e+01,-5.0000000000000606e-02,4.2651419348999831e+00,91,0
92,1.1750000000000002e+01,-5.0000000000000572e-02,3.9904942256999871e+00,92,0
93,1.1750000000000002e+01,-5.0000000000000516e-02,3.6224346049999920e+00,93,0
94,1.1750000000000002e+01,-5.0000000000000162e-02,1.0458333333249918e+00,94,0
95,1.1750000000000002e+01,-5.0000000000000148e-02,9.3882169259998627e-01,95,0
96,1.1750000000000002e+01,-5.0000000000000079e-02,3.9999999999999114e-01,96,0
97,1.1750000000000002e+01,-4.9999999999999940e-02,-6.0000000000000808e-01,97,0
98,1.1750000000000002e+01,-4.9999999999999892e-02,-9.5001078950001205e-01,98,0
99,1.1750000000000002e+01,-4.9999999999999746e-02,-2.0032897812000088e+00,99,0
100,1.1750000000000002e+01,-4.9999999999999351e-02,-4.8902812785000016e+00,100,0
101,1.1750000000000002e+01,-4.9999999999999205e-02,-5.9664012199999972e+00,101,0
102,1.1750000000000002e+01,-4.9999999999999177e-02,-6.1819236101000028e+00,102,0
103,1.1750000000000002e+01,-4.9999999999999115e-02,-6.5999999999999961e+00,103,0
104,1.1750000000000002e+01,-4.9999999999999101e-02,-6.7087678181999895e+00,104,0
105,1.1750000000000002e+01,1.1143386998275628e-15,-8.5999999999999925e+00,0,1
106,1.0858062549900001e+01,1.1170061176351101e-15,-8.5999999999999925e+00,0,1
107,9.5233990068000018e+00,1.1209975469685796e-15,-8.5999999999999925e+00,0,1
