x,y,z
4.9999999999999991e+00,1.0000000000000010e-01,3.0000000000000027e+00
4.9999999999999982e+00,1.0000000000000016e-01,1.5000000000000016e+00
4.9999999999999982e+00,2.1000000000000028e+00,-2.0000000000000018e+00
1.4999999999999993e+00,2.1000000000000028e+00,-2.0000000000000018e+00
-1.9999999999999991e+00,2.1000000000000028e+00,-2.0000000000000018e+00
-3.9999999999999982e+00,2.1000000000000028e+00,-2.0000000000000018e+00
-3.9999999999999978e+00,2.1000000000000028e+00,-5.0000000000000067e-01
-3.9999999999999978e+00,2.1000000000000028e+00,-1.6643977941623957e-16
-3.9999999999999978e+00,2.1000000000000028e+00,1.8181818180000064e-01
-3.9999999999999978e+00,2.1000000000000028e+00,5.0000000000000022e-01
-3.9999999999999978e+00,2.1000000000000028e+00,8.1818181819999980e-01
-3.9999999999999973e+00,2.1000000000000028e+00,1.0000000000000007e+00
-3.9999999999999969e+00,2.1000000000000028e+00,3.0000000000000027e+00
-4.9999999999999872e-01,2.1000000000000028e+00,3.0000000000000027e+00
3.0000000000000000e+00,2.1000000000000028e+00,3.0000000000000027e+00
5.0000000000000000e+00,2.1000000000000028e+00,3.0000000000000027e+00
4.9999999999999991e+00,2.1000000000000028e+00,1.5000000000000016e+00
4.9999999999999991e+00,2.1000000000000028e+00,1.0000000000000011e+00
4.9999999999999991e+00,2.1000000000000028e+00,8.1818181820000013e-01
4.9999999999999991e+00,2.1000000000000028e+00,1.8181818180000095e-01
4.9999999999999991e+00,2.1000000000000028e+00,1.1989872140158901e-16
