x,y,z,V,triangle
4.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,18
4.0000000000000000e+00,1.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,19
4.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,19
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,19
4.0000000000000000e+00,1.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,20
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,20
4.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,20
4.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,21
5.0000000000000000e-01,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,21
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,21
4.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,22
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,22
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,22
5.0000000000000000e-01,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,23
-3.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,23
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,23
5.0000000000000000e-01,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,24
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,24
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,24
-3.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,25
-5.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,25
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,25
-3.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,26
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,26
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,26
-5.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,27
-5.0000000000000000e+00,1.5000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,27
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,27
-5.0000000000000000e+00,3.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,28
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,28
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,28
-5.0000000000000000e+00,1.5000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,29
-5.0000000000000000e+00,1.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,29
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,29
-5.0000000000000000e+00,1.5000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,30
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,30
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,30
-5.0000000000000000e+00,1.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,31
-5.0000000000000000e+00,8.1818181819999936e-01,-2.0499999999999998e+00,0.0000000000000000e+00,31
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,31
-5.0000000000000000e+00,1.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,32
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,32
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,32
-5.0000000000000000e+00,8.1818181819999936e-01,-2.0499999999999998e+00,0.0000000000000000e+00,33
-5.0000000000000000e+00,1.8181818180000064e-01,-2.0499999999999998e+00,0.0000000000000000e+00,33
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,33
-5.0000000000000000e+00,8.1818181819999936e-01,-2.0499999999999998e+00,0.0000000000000000e+00,34
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,34
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,34
-5.0000000000000000e+00,1.8181818180000064e-01,-2.0499999999999998e+00,0.0000000000000000e+00,35
-5.0000000000000000e+00,0.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,35
-5.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,35
-5.0000000000000000e+00,1.8181818180000064e-01,-2.0499999999999998e+00,0.0000000000000000e+00,36
-5.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,36
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,36
-5.0000000000000000e+00,0.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,37
-5.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,37
-5.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,37
-5.0000000000000000e+00,0.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,38
-5.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,38
-5.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,38
-5.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,39
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,39
-1.5000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,39
-5.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,40
-1.5000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,40
-5.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,40
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,41
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,41
2.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,41
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,42
2.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,42
-1.5000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,42
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,43
4.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,43
4.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,43
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,44
4.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,44
2.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,44
4.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,45
4.0000000000000000e+00,-5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,45
4.0000000000000000e+00,-5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,45
4.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,46
4.0000000000000000e+00,-5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,46
4.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,46
4.0000000000000000e+00,-5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,47
