vertex,x,y,z,basis,conductor
74,7.9999999999999973e+00,1.4846675439324570e-16,8.0000000000000018e+00,74,1
75,7.9999999999999973e+00,1.4625300958702807e-16,7.8176947148000000e+00,75,1
76,7.9999999999999973e+00,1.3632369006140805e-16,7.0000000000000018e+00,76,1
77,7.9999999999999973e+00,1.2418062572957040e-16,6.0000000000000018e+00,77,1
78,7.9999999999999982e+00,5.1322239738544507e-17,1.3420642362340559e-15,78,1
79,7.9999999999999982e+00,4.5250707572625682e-17,-4.9999999999999867e-01,79,1
80,7.9999999999999982e+00,4.4646531692119810e-17,-5.4975481179999841e-01,80,1
81,7.9999999999999991e+00,-1.4367664565761261e-17,-5.4096645219999981e+00,81,1
82,7.9999999999999991e+00,9.9999999999999950e-02,-7.9999999999999982e+00,82,1
83,3.9002337588000007e+00,9.9999999999999978e-02,-7.9999999999999991e+00,83,1
84,1.9763412185000004e+00,9.9999999999999992e-02,-8.0000000000000000e+00,84,1
85,5.0000000000000067e-01,1.0000000000000001e-01,-8.0000000000000000e+00,85,1
86,-1.1576710718999983e+00,1.0000000000000002e-01,-8.0000000000000000e+00,86,1
87,-1.9999999999999987e+00,1.0000000000000002e-01,-8.0000000000000000e+00,87,1
88,-5.9999999999999973e+00,1.0000000000000005e-01,-8.0000000000000018e+00,88,0
89,-5.9999999999999973e+00,1.0000000000000006e-01,-7.0000000000000009e+00,89,0
90,-5.9999999999999982e+00,1.0000000000000014e-01,-1.2819642092662442e-15,90,0
91,-5.9999999999999982e+00,1.0000000000000016e-01,4.9999999999999872e-01,91,0
92,-5.9999999999999991e+00,1.0000000000000021e-01,5.9999999999999991e+00,92,0
93,-5.9999999999999991e+00,1.0000000000000024e-01,7.9999999999999991e+00,93,0
94,-2.0000000000000004e+00,1.0000000000000021e-01,8.0000000000000000e+00,94,1
95,-1.9672740796000028e+00,1.0000000000000021e-01,8.0000000000000000e+00,95,1
96,-1.0000000000000002e+00,1.0000000000000021e-01,8.0000000000000000e+00,96,1
97,-8.9604480200002570e-02,1.0000000000000020e-01,8.0000000000000000e+00,97,1
98,-5.8633880351650348e-16,1.0000000000000020e-01,8.0000000000000000e+00,98,1
99,1.4999999999999991e+00,1.0000000000000019e-01,8.0000000000000000e+00,99,0
100,5.9999999999999973e+00,1.0000000000000016e-01,8.0000000000000018e+00,100,1
101,7.9999999999999973e+00,1.0000000000000014e-01,8.0000000000000018e+00,101,1
102,7.9999999999999973e+00,1.0000000000000014e-01,7.8176947148000000e+00,102,1
103,7.9999999999999973e+00,1.0000000000000013e-01,7.0000000000000018e+00,103,1
104,7.9999999999999973e+00,1.0000000000000013e-01,6.0000000000000018e+00,104,1
105,7.9999999999999982e+00,1.0000000000000005e-01,1.3750500733152770e-15,105,1
106,7.9999999999999982e+00,1.0000000000000005e-01,-4.9999999999999861e-01,106,1
107,7.9999999999999982e+00,1.0000000000000005e-01,-5.4975481179999841e-01,107,1
108,7.9999999999999991e+00,9.9999999999999992e-02,-5.4096645219999981e+00,108,1
109,7.9999999999999991e+00,2.0999999999999996e+00,-7.9999999999999973e+00,109,0
110,3.9002337588000002e+00,2.0999999999999996e+00,-7.9999999999999982e+00,110,0
111,1.9763412185000002e+00,2.0999999999999996e+00,-7.9999999999999991e+00,111,0
112,5.0000000000000044e-01,2.0999999999999996e+00,-7.9999999999999991e+00,112,0
113,-1.1576710718999985e+00,2.0999999999999996e+00,-7.9999999999999991e+00,113,0
114,-1.9999999999999989e+00,2.0999999999999996e+00,-7.9999999999999991e+00,114,0
115,-5.9999999999999973e+00,2.0999999999999996e+00,-8.0000000000000018e+00,115,0
116,-5.9999999999999973e+00,2.0999999999999996e+00,-7.0000000000000000e+00,116,0
117,-5.9999999999999982e+00,2.1000000000000001e+00,-6.2224746764182385e-16,117,0
118,-5.9999999999999982e+00,2.1000000000000001e+00,4.9999999999999933e-01,118,0
119,-5.9999999999999991e+00,2.1000000000000001e+00,6.0000000000000000e+00,119,0
120,-5.9999999999999991e+00,2.1000000000000001e+00,8.0000000000000000e+00,120,0
121,-2.0000000000000009e+00,2.1000000000000001e+00,8.0000000000000000e+00,121,0
122,-1.9672740796000030e+00,2.1000000000000001e+00,8.0000000000000000e+00,122,0
123,-1.0000000000000004e+00,2.1000000000000001e+00,8.0000000000000000e+00,123,0
124,-8.9604480200002792e-02,2.1000000000000001e+00,8.0000000000000000e+00,124,0
125,-8.0503246163137257e-16,2.1000000000000001e+00,8.0000000000000000e+00,125,0
126,1.4999999999999989e+00,2.1000000000000001e+00,8.0000000000000000e+00,126,0
127,5.9999999999999973e+00,2.1000000000000001e+00,8.0000000000000018e+00,127,0
128,7.9999999999999973e+00,2.1000000000000001e+00,8.0000000000000018e+00,128,0
129,7.9999999999999973e+00,2.1000000000000001e+00,7.8176947148000009e+00,129,0
130,7.9999999999999973e+00,2.1000000000000001e+00,7.0000000000000027e+00,130,0
