x,y,z
-8.9604480200002570e-02,1.0000000000000020e-01,8.0000000000000000e+00
-5.8633880351650348e-16,1.0000000000000020e-01,8.0000000000000000e+00
1.4999999999999991e+00,1.0000000000000019e-01,8.0000000000000000e+00
5.9999999999999973e+00,1.0000000000000016e-01,8.0000000000000018e+00
7.9999999999999973e+00,1.0000000000000014e-01,8.0000000000000018e+00
7.9999999999999973e+00,1.0000000000000014e-01,7.8176947148000000e+00
7.9999999999999973e+00,1.0000000000000013e-01,7.0000000000000018e+00
7.9999999999999973e+00,1.0000000000000013e-01,6.0000000000000018e+00
7.9999999999999982e+00,1.0000000000000005e-01,1.3750500733152770e-15
7.9999999999999982e+00,1.0000000000000005e-01,-4.9999999999999861e-01
7.9999999999999982e+00,1.0000000000000005e-01,-5.4975481179999841e-01
7.9999999999999991e+00,9.9999999999999992e-02,-5.4096645219999981e+00
7.9999999999999991e+00,2.0999999999999996e+00,-7.9999999999999973e+00
3.9002337588000002e+00,2.0999999999999996e+00,-7.9999999999999982e+00
1.9763412185000002e+00,2.0999999999999996e+00,-7.9999999999999991e+00
5.0000000000000044e-01,2.0999999999999996e+00,-7.9999999999999991e+00
-1.1576710718999985e+00,2.0999999999999996e+00,-7.9999999999999991e+00
-1.9999999999999989e+00,2.0999999999999996e+00,-7.9999999999999991e+00
-5.9999999999999973e+00,2.0999999999999996e+00,-8.0000000000000018e+00
-5.9999999999999973e+00,2.0999999999999996e+00,-7.0000000000000000e+00
-5.9999999999999982e+00,2.1000000000000001e+00,-6.2224746764182385e-16
-5.9999999999999982e+00,2.1000000000000001e+00,4.9999999999999933e-01
-5.9999999999999991e+00,2.1000000000000001e+00,6.0000000000000000e+00
-5.9999999999999991e+00,2.1000000000000001e+00,8.0000000000000000e+00
-2.0000000000000009e+00,2.1000000000000001e+00,8.0000000000000000e+00
-1.9672740796000030e+00,2.1000000000000001e+00,8.0000000000000000e+00
-1.0000000000000004e+00,2.1000000000000001e+00,8.0000000000000000e+00
-8.9604480200002792e-02,2.1000000000000001e+00,8.0000000000000000e+00
-8.0503246163137257e-16,2.1000000000000001e+00,8.0000000000000000e+00
1.4999999999999989e+00,2.1000000000000001e+00,8.0000000000000000e+00
5.9999999999999973e+00,2.1000000000000001e+00,8.0000000000000018e+00
7.9999999999999973e+00,2.1000000000000001e+00,8.0000000000000018e+00
7.9999999999999973e+00,2.1000000000000001e+00,7.8176947148000009e+00
7.9999999999999973e+00,2.1000000000000001e+00,7.0000000000000027e+00
7.9999999999999973e+00,2.1000000000000001e+00,6.0000000000000027e+00
7.9999999999999982e+00,2.0999999999999996e+00,2.0347668149396974e-15
7.9999999999999982e+00,2.0999999999999996e+00,-4.9999999999999800e-01
7.9999999999999982e+00,2.0999999999999996e+00,-5.4975481179999774e-01
7.9999999999999991e+00,2.0999999999999996e+00,-5.4096645219999973e+00
